Series_reference,Period_1,Data_value,Suppressed_1,STATUS_1,UNITS_1,Magnitude_1,Subject_1,Group_1,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MFGQ.SFA1CA,1992.12,2493.37,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.03,3209.2,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.06,2780.17,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.09,1933.01,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.12,2692.92,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.03,3079.61,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.06,2668.49,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.09,1812.22,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.12,2916.07,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1995.03,3119.33,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1995.06,2674.09,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
